tab	sites
site	study	member	member_age	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age_unit	dir_comp_name	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	vgp_lat	vgp_lon	description
AW-13-4	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.26907	248.103964	Ma	ChRM	100	272.0	23.0	9.0	39	8	8.6	166.7	Carbon Butte member; Weil et al. (2004)
AW-12-10	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.247153	248.133426	Ma	ChRM	100	94.0	-34.0	12.0	65	6	14.0	171.2	Carbon Butte member; Weil et al. (2004)
AW-12-11	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.2495	248.133917	Ma	ChRM	100	108.0	-28.0	16.0	258	6	23.1	160.0	Carbon Butte member; Weil et al. (2004)
AW-12-13	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.242285	248.12589	Ma	ChRM	100	83.0	-36.0	21.0	20	7	6.3	178.3	Carbon Butte member; Weil et al. (2004)
AW-12-14A	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.242383	248.121909	Ma	ChRM	100	97.0	-39.0	12.0	60	6	18.2	172.5	Carbon Butte member; Weil et al. (2004)
AW-12-14B	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.242021	248.118195	Ma	ChRM	100	103.0	-37.0	12.0	39	8	22.2	168.1	Carbon Butte member; Weil et al. (2004)
AW-12-8	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.255328	248.141498	Ma	ChRM	100	256.0	17.0	13.0	27	6	-5.9	173.5	Carbon Canyon member; Weil et al. (2004)
AW-12-9	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.253493	248.142241	Ma	ChRM	100	254.0	-11.0	9.0	90	7	-16.2	163.2	Carbon Canyon member; Weil et al. (2004)
AW-12-15	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.236527	248.119935	Ma	ChRM	100	285.0	35.0	15.0	24	7	23.1	165.7	Carbon Canyon member; Weil et al. (2004)
AW-12-19	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.163766	248.147031	Ma	ChRM	100	296.0	1.0	16.0	16	7	21.0	142.5	Carbon Canyon member; Weil et al. (2004)
