tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	lt	27.7	8.6	73.6	2.3	2	3	0.0	CB10-2a_LP-DIR-T	hargrave 2021-11-18 16:15:47	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB10-2	pmagpy-4.2.24-1: demag_gui	CB10-2a
This study	mt	0.0	257.3	37.1	1.4	2	12	0.0	CB10-2a_LP-DIR-T	hargrave 2021-11-18 16:15:47	u	859.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB10-2	pmagpy-4.2.24-1: demag_gui	CB10-2a
This study	lt	27.7	7.2	63.2	2.3	2	3	100.0	CB10-2a_LP-DIR-T	hargrave 2021-11-18 16:15:47	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB10-2	pmagpy-4.2.24-1: demag_gui	CB10-2a
This study	mt	0.0	265.4	39.6	1.4	2	12	100.0	CB10-2a_LP-DIR-T	hargrave 2021-11-18 16:15:47	u	859.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB10-2	pmagpy-4.2.24-1: demag_gui	CB10-2a
This study															LP-NOMAG		CB10-2		CB10-2a
This study															LP-NOMAG		CB10-3		CB10-3a
This study	lt	17.0	353.5	52.3	2.9	2	3	0.0	CB10-4a_LP-DIR-T	hargrave 2021-11-18 16:19:07	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB10-4	pmagpy-4.2.24-1: demag_gui	CB10-4a
This study	mt	0.0	269.8	32.3	4.1	2	8	0.0	CB10-4a_LP-DIR-T	hargrave 2021-11-18 16:19:07	u	859.0	823.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB10-4	pmagpy-4.2.24-1: demag_gui	CB10-4a
This study	lt	17.0	355.5	42.1	2.9	2	3	100.0	CB10-4a_LP-DIR-T	hargrave 2021-11-18 16:19:07	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB10-4	pmagpy-4.2.24-1: demag_gui	CB10-4a
This study	mt	0.0	276.4	32.6	4.1	2	8	100.0	CB10-4a_LP-DIR-T	hargrave 2021-11-18 16:19:07	u	859.0	823.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB10-4	pmagpy-4.2.24-1: demag_gui	CB10-4a
This study															LP-NOMAG		CB10-4		CB10-4a
This study	mt	0.0	109.5	26.4	4.1	2	8	-1.0	CB10-4a_LP-DIR-T	hargrave 2021-11-18 16:19:07	u	859.0	823.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB10-4	pmagpy-4.2.24-1: demag_gui	CB10-4a
This study	lt	17.0	174.1	13.6	2.9	2	3	-1.0	CB10-4a_LP-DIR-T	hargrave 2021-11-18 16:19:07	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB10-4	pmagpy-4.2.24-1: demag_gui	CB10-4a
This study															LP-NOMAG		CB10-5		CB10-5a
