tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	lab_names
20644	1	2026-05-13T16:42:30.806Z	@contributor	3.0	10.1139/E77-158	Geomagnetism Laboratory (University of Liverpool, UK):Western Paleomagnetic & Petrophysical Laboratory (WPPL) (Western University, Canada)
>>>>>>>>>>
tab delimited	locations
location	location_type	result_name	result_type	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_sigma	age_low	age_high	age_unit	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	description
Sudbury Dikes	Region	Sudbury Dike Swarm ca. 1238 Ma pole	a	LP-DIR-AF:LP-DIR-T:DE-FM:DE-VGP:GM-KAR	10.1139/e77-158	Igneous	Diabase	46	47.5	276.5	280.5	1238	4			Ma	-2.9	193.1	3.3	51	38	"Primary Sudbury Dike Swarm pole, sites away from the Grenville Front (1200-1400 Ma)."
Sudbury Dikes	Region	Sudbury Dikes Grenville-Front overprint ca. 1000 Ma	a	LP-DIR-AF:LP-DIR-T:DE-FM:DE-VGP:GM-KAR	10.1139/e77-158	Igneous	Diabase	46	47.5	276.5	280.5			900	1100	Ma	-3.7	343.4	6.3	24	23	"Grenville Front remagnetization overprint, ~1000 Ma; sites within few km of Grenville Front region."
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	description
68	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.1	277.15			900	1100	Ma	0	130	58	21	11	6	Grenville Front direction	6	316	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
69	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.12	277.16			900	1100	Ma	0	127	50	11	66	4	Grenville Front direction	1	322	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
72	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.15	277.11			900	1100	Ma	0	120	3	22	18	4	Grenville Front direction	-19	345	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
73	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.09	277.08			900	1100	Ma	0	119	32	7	159	4	Grenville Front direction	-6	336	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
74	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.14	278.99			900	1100	Ma	0	111	19	14	81	3	Grenville Front direction	-7	347	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
75	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.14	278.99			900	1100	Ma	0	107	23	7	182	4	Grenville Front direction	-3	348	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
76	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.14	278.98			900	1100	Ma	0	124	27	11	67	4	Grenville Front direction	-11	334	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
77	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.15	278.96			900	1100	Ma	0	94	23	13	97	3	Grenville Front direction	6	358	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
79	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.49	278.95	1238	4	1200	1400	Ma	0	268	-6	6	255	4	Sudbury Dike direction	-4	188	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
80	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.5	278.96	1238	4	1200	1400	Ma	0	269	-4	8	137	4	Sudbury Dike direction	-2	188	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
84	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	47.04	280.21	1238	4	1200	1400	Ma	0	264	-10	9	107	4	Sudbury Dike direction	-8	191	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
