site,comp,tilt,dec,inc,alpha95,k,n,lat,lon,vgp_lat,vgp_lon,vgp_dp,vgp_dm
SLB37,mag,0,297.9,30.5,2.6,394,9,47.5241,-90.9236,30.8,169.7,1.6,2.9
SLB37,mag,100,294.0,46.9,2.6,394,9,47.5241,-90.9236,36.1,182.9,2.2,3.4
SLB38,hem,0,294.5,30.7,7.0,63,8,47.5243,-90.9227,28.6,172.5,4.4,7.8
SLB38,hem,100,289.9,46.8,7.0,63,8,47.5243,-90.9227,33.3,185.7,5.8,9.0
SLB38,mag,0,292.0,29.9,6.7,70,8,47.5243,-90.9227,26.5,174.0,4.1,7.4
SLB38,mag,100,286.9,45.6,6.7,70,8,47.5243,-90.9227,30.7,186.8,5.4,8.5
SLB39,hem,0,298.8,30.6,2.7,435,8,47.5243,-90.9226,31.4,169.0,1.7,3.0
SLB39,hem,100,295.2,47.1,2.7,433,8,47.5243,-90.9226,37.1,182.2,2.3,3.5
SLB39,mag,0,297.7,31.0,2.9,359,8,47.5243,-90.9226,30.9,170.1,1.8,3.2
SLB39,mag,100,293.8,47.3,2.9,356,8,47.5243,-90.9226,36.2,183.3,2.4,3.8
SLB40,hem,0,298.6,35.1,4.8,157,7,47.5243,-90.9224,33.3,171.6,3.2,5.5
SLB40,hem,100,294.3,51.5,4.8,157,7,47.5243,-90.9224,38.9,186.6,4.4,6.5
SLB40,mag,0,297.1,36.0,5.0,147,7,47.5243,-90.9224,32.7,173.3,3.4,5.8
SLB40,mag,100,292.1,52.3,5.0,147,7,47.5243,-90.9224,37.9,188.8,4.7,6.9
